PersonID,Occupation,Ship Deployed On,Year
PE001,Starfleet Captain,USS Enterprise NCC-1701,2265
PE001,Starfleet Captain,USS Enterprise NCC-1701-A,2271
PE001,Starfleet Captain,USS Excelsior,2280
PE001,Admiral,Starbase 1,2290
PE001,Instructor,Starfleet Academy,2305
PE001,Retired,Earth,2310
PV002,Science Officer,USS Enterprise NCC-1701,2265
PV002,Science Officer,USS Enterprise NCC-1701-A,2271
PV002,Science Officer,USS Intrepid,2285
PV002,First Officer,USS Surak,2295
PV002,Ambassador,Vulcan High Command,2305
PV002,Retired,Vulcan,2310
PE003,Chief Medical Officer,USS Enterprise NCC-1701,2265
PE003,Chief Medical Officer,USS Enterprise NCC-1701-A,2271
PE003,Chief Medical Officer,USS Repulse,2280
PE003,CMO,Starbase Medical,2290
PE003,Head of Surgery,Earth Medical Center,2300
PE003,Retired,Earth,2305
PE004,Chief Engineer,USS Enterprise NCC-1701,2265
PE004,Chief Engineer,USS Enterprise NCC-1701-A,2271
PE004,Chief Engineer,USS Reliant,2282
PE004,Engineering Consultant,Starfleet R&D,2295
PE004,Professor of Engineering,Starfleet Academy,2305
PE004,Retired,Earth,2310
PE005,Communications Officer,USS Enterprise NCC-1701,2265
PE005,Communications Officer,USS Traumschiff Surprise,2275
PE005,Diplomatic Liaison,United Federation of Planets,2285
PE005,Instructor,Starfleet Academy,2295
PE005,Retired,Earth,2305
PE006,Helmsman,USS Enterprise NCC-1701,2265
PE006,Flight Instructor,Starfleet Academy,2275
PE006,Captain,USS Excelsior,2285
PE006,Commodore,Starfleet Command,2295
PE006,Retired,Earth,2305
PE007,Navigator,USS Enterprise NCC-1701,2265
PE007,Science Officer,USS Reliant,2275
PE007,Strategic Operations Officer,Starfleet Command,2285
PE007,Captain,USS Суриков,2295
PE007,Retired,Earth,2305
PE008,Starfleet Captain,USS Enterprise NCC-1701-D,2364
PE008,Starfleet Captain,USS Stargazer,2333
PE008,Ambassador,United Federation of Planets,2370
PE008,Captain,USS Enterprise NCC-1701-E,2373
PE008,Admiral,Starfleet Command,2380
PE008,Retired,Earth,2385
PE009,First Officer,USS Enterprise NCC-1701-D,2364
PE009,Captain,USS Titan,2375
PE009,Admiral,Starfleet Command,2390
PE009,Retired,Earth,2400
PN010,Second Officer,USS Enterprise NCC-1701-D,2364
PN010,Second Officer,USS Enterprise NCC-1701-E,2373
PN010,Ambassador,United Federation of Planets,2375
PN010,Head of Security,Daystrom Institute,2385
PN010,Retired,Earth,2395
PB011,Counselor,USS Enterprise NCC-1701-D,2364
PB011,Counselor,USS Avalon,2370
PB011,Diplomatic Counselor,United Federation of Planets,2380
PB011,Professor of Psychology,Starfleet Academy,2390
PB011,Retired,Betazed,2400
PE012,Chief Engineer,USS Enterprise NCC-1701-D,2364
