Occupation	Amount	Currency
Starfleet Captain	80000	Credits
Science Officer	60000	Credits
Chief Medical Officer	75000	Credits
Vulcan Science Officer	72000	Vulcanios
Second Officer	45000	Credits
Operations Officer	70000	Credits
Medical Officer	67000	Credits
Chief Engineer	85000	Credits
Communications Officer	50000	Credits
Helmsman	55000	Credits
Navigator	60000	Credits
First Officer	90000	Credits
Counselor	65000	Credits
Chief of Security	70000	Credits
Bajoran Militia/Starfleet Officer	62000	Pylons
Security Officer	58000	Credits
Bar Owner	40000	Quatloos
Security/Tactical Officer	68000	Credits
Morale Officer, Cook	42000	Credits
Starfleet Officer	55000	Credits
Tactical Officer	65000	Credits
Fenris Rangers	50000	Tokens
Intelligence Officer	70000	Credits
Captain of La Sirena	95000	Credits
Traveler	30000	Units
Bar tender	35000	Quatloos
Q	999999	Cosmic Units
Chief of Operations	78000	Credits
Doctor	70000	Credits
